id,host_id,host_is_superhost,name,price,neighbourhood,host_name,beds,neighbourhood_group_cleansed,review_scores_rating
21994814,158187683,f,Rental unit in Porto · ★4.78 · 1 bedroom · 2 beds · 1 bath,$65.00,"Porto, Portugal",Nuno,2,PORTO,4.78
21993365,158187683,f,Rental unit in Porto · ★4.71 · 1 bedroom · 2 beds · 1 bath,$62.00,"Porto, Portugal",Nuno,2,PORTO,4.71
21991062,280564100,f,Rental unit in Porto · ★4.64 · 1 bedroom · 3 beds · 1 bath,$41.00,"Porto, Portugal",LovelyStay,3,PORTO,4.64
21990730,158187683,f,Rental unit in Porto · ★4.89 · 1 bedroom · 2 beds · 1 bath,$59.00,"Porto, Portugal",Nuno,2,PORTO,4.89
21989862,158187683,f,Rental unit in Porto · 1 bedroom · 2 beds · 1 bath,$67.00,"Porto, Portugal",Nuno,2,PORTO,
21987712,134486318,f,Boutique hotel in Porto · 1 bedroom · 1 bed · 1 private bath,$103.00,"Porto, Portugal",House,1,PORTO,4.0
21980734,47583333,f,Rental unit in Porto · ★4.24 · 1 bedroom · 2 beds · 1 bath,$68.00,,Luís,2,PORTO,4.24
21977908,158187683,f,Rental unit in Porto · ★4.68 · 1 bedroom · 2 beds · 1 bath,$59.00,"Porto, Portugal",Nuno,2,PORTO,4.68
21972089,160418271,f,Rental unit in Porto · ★4.77 · 1 bedroom · 1 bed · 1 bath,$71.00,"Porto, Portugal",Tomás,1,PORTO,4.77
21961905,140101314,f,Rental unit in Porto · ★4.75 · 1 bedroom · 1 bed · 1.5 shared baths,$27.00,"Porto, Portugal",Catarina,1,PORTO,4.75
21959774,247404054,f,Serviced apartment in Porto · ★4.92 · 1 bedroom · 1 bed · 1 bath,$120.00,"Porto, Portugal",We Do Living,1,PORTO,4.92
21959692,160312057,f,Condo in Leça da Palmeira · 2 bedrooms · 2 beds · 3 baths,,,Amaro,2,MATOSINHOS,
21957278,160275966,t,Serviced apartment in Porto · ★4.85 · 1 bedroom · 1 bed · 1 bath,$105.00,"Porto, Portugal",Hello,1,PORTO,4.85
21956593,140101314,f,Rental unit in Porto · ★4.76 · 1 bedroom · 1 bed · 1.5 shared baths,$27.00,"Porto, Portugal",Catarina,1,PORTO,4.76
21956412,93594275,f,Rental unit in Porto · ★4.79 · 6 bedrooms · 8 beds · 2 baths,$360.00,,Five Seven Nine,8,PORTO,4.79
21954916,160275966,t,Serviced apartment in Porto · ★4.85 · 1 bedroom · 1 bed · 1 bath,$105.00,"Porto, Portugal",Hello,1,PORTO,4.85
21948032,75279449,t,Rental unit in Porto · ★4.93 · 2 bedrooms · 3 beds · 1 bath,$91.00,,Fernando,3,PORTO,4.93
21945806,247404054,f,Serviced apartment in Porto · ★4.74 · 1 bedroom · 1 bed · 1 bath,$120.00,"Porto, Portugal",We Do Living,1,PORTO,4.74
